Column1,Column2
50,특수학급교사의 직무스트레스가 교육만족도에 미치는 영향 : 강원도 초등학교 특수학급교사를 중심으로
51,특수교육 재정의 개선방안 : 서울특별시를 중심으로 = The Problems of Special Education Finances and the Plan for it's Improvement:For the Case of Seoul City
52,초등학교 교사의 특수아동 통합교육에 관한 태도 연구
53,고등학교 특수학급 학생을 위한 지역사회 통합 준비 교육과정 운영 실태 및 교사들의 인식 비교 연구 : 특수학급 교사와 원적학급 교사를 중심으로 = (A) comparative Study on Teacher Awareness of Curriculum for Special class Student's Community Integration in High School
54,韓國 特殊敎育行政의 發展方向에 관한 硏究
55,특수학교의 음악교육 실태와 방법에 관한 연구 : 서울지역 특수학교 중심으로 = (A) study of music teaching method for the handicapped students
56,유아특수교육 관련 전문가들의 유아안전에 관한 인식조사 = (A) Study on Early Childhood Special Education Professional's Recognition toward the Child Safety
57,특수교육 대상 학생의 과학교육에서 과학적 유창성에 대한 비판적 문화기술 연구 = (A) critical ethnographic study to improve scientific fluency of students with special education needs(SEN)
58,자기결정에 대한 특수교육 교사의 중요도 인식과 교수 실행에 관한 조사 = (A) Survey Study of Special Education Teachers' Perception on and Implementation of a Self-determination Skill
59,Paulo Freire 교육사상의 특수교육적 함의 탐색 = Implication of Paulo Freire's Thought of Education on Special Education
60,통합교육의 협력교수 유형과 협력정도에 대한 일반교사와 특수교사의 인식
61,특수교육보조원제 운영에 대한 특수교사와 특수교육보조원의 인식 : 충청남도 지역을 중심으로
62,통합교육 실행의 협력적인 교사역할에 대한 서울시 특수교사와 통합학급 교사의 필요도 인식 및 실행도 비교 = Perception and Actual Performance of Special Educators and General Educators in their Collaborative Teacher Roles for Inclusion of Students with Disabilities
63,특수교육 보조원의 역할갈등과 관리방안 : 인천광역시 지체부자유학교를 중심으로 = The Role Conflict and the Management of Teacher-aide System in Special Education : Focused on the Development Disorder schools
64,"초등학교 일반학급, 영재학급, 특수학급 학부모의 교육환경 만족도 = Parents' satisfaction with educational environment of common, gifted, and special education classes in elementary schools"
65,초등학교 특수학급 아동의 교육진단평가 실태 및 개선 방안 = (The) Realities and Improvement of Diagnostic Evaluation Against Special Class Children in Elementary School
66,초등학교 학습부진학생 지도에 관한 일반교육과 특수교육 간의 긴장관계에 대한 연구
67,특수아 수학교육 지도 방안 연구 = (A) study of mathematical curriculum for mentally retarded children
68,특수교육보조원의 역할에 대한 특수교사와 특수교육보조원의 인식 비교
69,특수교육 교육과정 중심의 통합교육시설환경 개선방안 연구 : 인천시 고등학교를 중심으로 = A Study on Improvement of Educational Facilities and Environments for Intergrated Education Focusing on Special Education Curriculum
70,특수아 통합교육을 위한 협동체제 활성화에 관한 연구 = (A) Study on the Levels of Collaborative Consultation System for the Education of Exceptional Children in Regular Classes
71,특수학급 전통음악 방과 후 교육의 실태조사 연구 : 용인지역 초등학교를 중심으로 = (A)Study on the current status of after school education of traditional music for special class
72,2008·2011년 개정 특수교육 기본 교육과정 국어과 비교 = Comparison Study in Korean Language on the Revised Curriculum Basic for Special Education between 2008 and 2011
73,"특수교육관련 종사자의 장애이미지, 장애원인 및 서비스 제공방법에 대한 인식 비교"
74,"특수학교차원의 긍정적 행동지원이 장애학생의 행동과 개별화교육목표 성취 및 학생 행동관리에 대한 교사의 인식에 미치는 영향 = (The) effects of school wide positive behavior support in a special school on the behaviors, individualized education goal attainment of students with disabilities and perception about behavior management of special educators"
75,유아 통합학급에서의 특수교육 보조원 실태 및 유아특수교사와 통합담당교사의 인식
76,특수교육의 무용교수 행동 사례분석
77,특수교육 교원정책의 개선방안에 대한 연구 = Study on improvement plans on policies for special education teachers
78,특수아동의 개인차에 따른 교육과정 수정 사례 연구
79,교육인적자원부에 접수된 유아특수교육 관련 민원 연구
80,정신지체 특수학교의 숲 활용 교육에 대한 교사 태도 연구
81,지체장애 특수학교 학급 내 복수의 학교교육과정 운영 실태와 개선방안
82,"특수학교 초등교사의 교육평가 실태와 문제점 및 개선방안 = An Analysis on Elementary Special School Teachers' Evaluation of Their Students, Problems with Their Evaluation and Ways to Enhance it"
